year,term,estimate,std.error,statistic,p.value,conf.low,conf.high
1997,t,189.61118122812965,0.42033128672988784,451.0993761689148,1.1249347008290002e-155,188.77636701096895,190.44599544529035
1998,k,0.0730204480957822,0.003682699121798209,19.82797010583025,8.614388681187762e-35,0.06570521869364473,0.08033567749791967
1998,pop,57670.185975835804,1546.8145583553771,37.28319316903288,6.46148206337833e-57,54597.62887499656,60742.74307667505
1998,t,188.591379736057,0.5059195644672944,372.76949337714075,1.105959509130968e-146,187.58643267122577,189.59632680088825
1999,k,0.05825060962585385,0.001765596079050215,32.99203612707907,5.781684425246229e-51,0.05474129623719245,0.06175992301451525
1999,pop,74749.73764796872,1494.3341685797814,50.02210296711012,6.831090083485381e-66,71779.58667903802,77719.88861689942
1999,t,190.6110776512146,0.4372232775116653,435.9582104960755,4.568445237176593e-147,189.7420490439289,191.4801062585003
2000,k,0.05294575540784302,0.0019353967141166602,27.356538854106788,2.1566160639832685e-45,0.049100752029745724,0.056790758785940317
2000,pop,47887.818917651886,1008.8496981889065,47.46774371209151,1.7042438183134194e-65,45883.562906863306,49892.07492844047
2000,t,185.20656863192687,0.5306926961423107,348.9902347973182,9.932335102819795e-143,184.1522549635635,186.26088230029023
2001,k,0.03839667589315924,0.0017270169468013088,22.232946795499355,1.2154715492703959e-39,0.03496857434802523,0.04182477743829325
2001,pop,92891.69755742917,3764.875431707638,24.673245965882117,2.418497607689219e-43,85418.47889065318,100364.91622420517
2001,t,194.11414730607208,1.2273864585160794,158.15242702022127,7.385295241943972e-118,191.67780444174255,196.55049017040162
2002,k,0.07346865126666731,0.0030203492481665813,24.32455495379033,1.4176006218442021e-40,0.06746538008772009,0.07947192244561453
2002,pop,75526.26478536485,1329.1506251271312,56.822953965914046,1.4447604118551445e-70,72884.43399538287,78168.09557534683
2002,t,183.01316585042196,0.3708094815192727,493.5503943981808,9.408251078864052e-152,182.2761418540625,183.7501898467814
2003,k,0.045158040694917995,0.0014917618749796238,30.271614694225118,3.2172566112477813e-51,0.04219730631363424,0.04811877507620175
2003,pop,117233.14656188124,2913.6613529749948,40.23568025233279,2.542461439412891e-62,111450.33531843888,123015.95780532359
2003,t,190.48990942417018,0.6741219664111084,282.57484389405175,3.024133939128793e-143,189.1519639272327,191.82785492110764
2004,k,0.05027840878797197,0.001240521079003154,40.530072111611524,1.3597134127788865e-59,0.04781389714311004,0.0527429204328339
2004,pop,54790.21131922704,884.4016361247167,61.951729939473594,1.35409031016928e-75,53033.19310498131,56547.229533472775
2004,t,188.8480238302746,0.41005119476884416,460.5474297830856,1.4508816779450387e-153,188.03338556124217,189.66266209930703
2005,k,0.040254942793824904,0.001490247996973592,27.012244187259416,1.1618531468586293e-44,0.03729385176685648,0.04321603382079333
2005,pop,90227.02072672761,2537.4107009908785,35.55869796383111,2.185502054105383e-54,85185.23971195944,95268.80174149579
