weir,stat_week,date,species,count_type,maturity,count,comments
Situk Lower,25,6/17/1988,Chinook,Counted live,Adult,1,25 tagged
Situk Lower,25,6/17/1988,Sockeye,Counted live,Adult,3,25 tagged
Situk Lower,25,6/17/1988,Steelhead trout,Counted live,Adult,2,25 tagged
Situk Lower,25,6/17/1988,Steelhead trout,Downstream migration,Adult,42,25 tagged
Situk Lower,25,6/18/1988,Chinook,Counted live,Adult,2,
Situk Lower,25,6/18/1988,Sockeye,Counted live,Adult,2,
Situk Lower,25,6/18/1988,Steelhead trout,Downstream migration,Adult,84,
Situk Lower,26,6/19/1988,Chinook,Counted live,Adult,9,"1 s tagged, 1 chum"
Situk Lower,26,6/19/1988,Sockeye,Counted live,Adult,3,"1 s tagged, 1 chum"
Situk Lower,26,6/19/1988,Steelhead trout,Counted live,Adult,1,"1 s tagged, 1 chum"
Situk Lower,26,6/19/1988,Steelhead trout,Downstream migration,Adult,281,"1 s tagged, 1 chum"
Situk Lower,26,6/20/1988,Chinook,Counted live,Adult,12,
Situk Lower,26,6/20/1988,Sockeye,Counted live,Adult,2,
Situk Lower,26,6/21/1988,Chinook,Counted live,Adult,3,
Situk Lower,26,6/21/1988,Steelhead trout,Downstream migration,Adult,7,
Situk Lower,26,6/22/1988,Chinook,Counted live,Adult,6,20s 1k tagged
Situk Lower,26,6/22/1988,Chinook,Counted live,L Jck,3,20s 1k tagged
Situk Lower,26,6/22/1988,Sockeye,Counted live,Adult,957,20s 1k tagged
Situk Lower,26,6/22/1988,Steelhead trout,Counted live,Adult,6,20s 1k tagged
Situk Lower,26,6/22/1988,Steelhead trout,Downstream migration,Adult,1,20s 1k tagged
Situk Lower,26,6/23/1988,Chinook,Zero fish observed,Adult,0,
Situk Lower,26,6/24/1988,Chinook,Counted live,Adult,7,3s 4k
Situk Lower,26,6/24/1988,Sockeye,Counted live,Adult,14,3s 4k
Situk Lower,26,6/24/1988,Steelhead trout,Downstream migration,Adult,19,3s 4k
Situk Lower,26,6/25/1988,Chinook,Counted live,Adult,4,4 sockeye tagged
Situk Lower,26,6/25/1988,Sockeye,Counted live,Adult,5,4 sockeye tagged
Situk Lower,26,6/25/1988,Steelhead trout,Downstream migration,Adult,21,4 sockeye tagged
Situk Lower,27,6/26/1988,Chinook,Counted live,Adult,11,34 sockeye tagged
Situk Lower,27,6/26/1988,Sockeye,Counted live,Adult,35,34 sockeye tagged
Situk Lower,27,6/27/1988,Chinook,Counted live,Adult,11,
Situk Lower,27,6/27/1988,Chinook,Counted live,L Jck,1,
Situk Lower,27,6/27/1988,Sockeye,Counted live,Adult,25,
Situk Lower,27,6/27/1988,Steelhead trout,Counted live,Adult,4,
Situk Lower,27,6/27/1988,Steelhead trout,Downstream migration,Adult,12,
Situk Lower,27,6/28/1988,Chinook,Counted live,Adult,22,32s tagged
Situk Lower,27,6/28/1988,Chinook,Counted live,L Jck,4,32s tagged
Situk Lower,27,6/28/1988,Sockeye,Counted live,Adult,1144,32s tagged
Situk Lower,27,6/28/1988,Steelhead trout,Counted live,Adult,3,32s tagged
Situk Lower,27,6/29/1988,Chinook,Counted live,Adult,49,17 k/1048 S tagged cummulative
Situk Lower,27,6/29/1988,Chinook,Counted live,L Jck,5,17 k/1048 S tagged cummulative
Situk Lower,27,6/29/1988,Sockeye,Counted live,Adult,8145,17 k/1048 S tagged cummulative
Situk Lower,27,6/29/1988,Steelhead trout,Counted live,Adult,1,17 k/1048 S tagged cummulative
Situk Lower,27,6/29/1988,Steelhead trout,Downstream migration,Adult,4,17 k/1048 S tagged cummulative
Situk Lower,27,6/30/1988,Chinook,Counted live,Adult,40,1 SH up 8 down
Situk Lower,27,6/30/1988,Chinook,Counted live,L Jck,1,1 SH up 8 down
Situk Lower,27,6/30/1988,Sockeye,Counted live,Adult,1775,1 SH up 8 down
Situk Lower,27,6/30/1988,Steelhead trout,Counted live,Adult,1,1 SH up 8 down
Situk Lower,27,6/30/1988,Steelhead trout,Downstream migration,Adult,8,1 SH up 8 down
Situk Lower,27,7/1/1988,Chinook,Counted live,Adult,3,
Situk Lower,27,7/1/1988,Sockeye,Counted live,Adult,604,
Situk Lower,27,7/1/1988,Steelhead trout,Downstream migration,Adult,11,
Situk Lower,27,7/2/1988,Chinook,Counted live,Adult,10,
Situk Lower,27,7/2/1988,Chinook,Counted live,L Jck,10,
Situk Lower,27,7/2/1988,Sockeye,Counted live,Adult,2755,
Situk Lower,27,7/2/1988,Steelhead trout,Counted live,Adult,1,
Situk Lower,27,7/2/1988,Steelhead trout,Downstream migration,Adult,40,
Situk Lower,28,7/3/1988,Chinook,Counted live,Adult,9,
Situk Lower,28,7/3/1988,Chinook,Counted live,L Jck,4,
Situk Lower,28,7/3/1988,Sockeye,Counted live,Adult,987,
Situk Lower,28,7/3/1988,Steelhead trout,Downstream migration,Adult,3,
Situk Lower,28,7/4/1988,Chinook,Counted live,Adult,7,
Situk Lower,28,7/4/1988,Sockeye,Counted live,Adult,94,
Situk Lower,28,7/5/1988,Chinook,Counted live,Adult,2,"1 tagged king mortality, 1 Dolly Varden mortality"
Situk Lower,28,7/5/1988,Chinook,Weir mortalities,Adult,1,"1 tagged king mortality, 1 Dolly Varden mortality"
Situk Lower,28,7/5/1988,General dolly varden,Weir mortalities,Adult,1,"1 tagged king mortality, 1 Dolly Varden mortality"
Situk Lower,28,7/5/1988,Sockeye,Counted live,Adult,253,"1 tagged king mortality, 1 Dolly Varden mortality"
Situk Lower,28,7/6/1988,Chinook,Counted live,Adult,4,1 RS mort
Situk Lower,28,7/6/1988,Sockeye,Counted live,Adult,490,1 RS mort
Situk Lower,28,7/6/1988,Sockeye,Weir mortalities,Adult,1,1 RS mort
Situk Lower,28,7/7/1988,Chinook,Counted live,Adult,18,
Situk Lower,28,7/7/1988,Chinook,Counted live,L Jck,5,
Situk Lower,28,7/7/1988,Pink,Counted live,Adult,2,
Situk Lower,28,7/7/1988,Sockeye,Counted live,Adult,3679,
Situk Lower,28,7/7/1988,Steelhead trout,Downstream migration,Adult,3,
Situk Lower,28,7/8/1988,Chinook,Counted live,Adult,11,"1 RS mort, 1 chum, yellow 270 tags"
Situk Lower,28,7/8/1988,Chinook,Counted live,L Jck,10,"1 RS mort, 1 chum, yellow 270 tags"
Situk Lower,28,7/8/1988,Pink,Counted live,Adult,1,"1 RS mort, 1 chum, yellow 270 tags"
Situk Lower,28,7/8/1988,Sockeye,Counted live,Adult,281,"1 RS mort, 1 chum, yellow 270 tags"
Situk Lower,28,7/8/1988,Sockeye,Weir mortalities,Adult,1,"1 RS mort, 1 chum, yellow 270 tags"
Situk Lower,28,7/9/1988,Chinook,Counted live,Adult,9,"1 RS mort, 18 tags yellow cum. 258 yellow"
Situk Lower,28,7/9/1988,Sockeye,Counted live,Adult,20,"1 RS mort, 18 tags yellow cum. 258 yellow"
Situk Lower,28,7/9/1988,Sockeye,Weir mortalities,Adult,1,"1 RS mort, 18 tags yellow cum. 258 yellow"
Situk Lower,29,7/10/1988,Chinook,Counted live,Adult,21,"1 RS mort, 141 tags yellow cum. 399 yellow"
Situk Lower,29,7/10/1988,Chinook,Counted live,L Jck,3,"1 RS mort, 141 tags yellow cum. 399 yellow"
Situk Lower,29,7/10/1988,Pink,Counted live,Adult,2,"1 RS mort, 141 tags yellow cum. 399 yellow"
Situk Lower,29,7/10/1988,Sockeye,Counted live,Adult,1329,"1 RS mort, 141 tags yellow cum. 399 yellow"
Situk Lower,29,7/10/1988,Sockeye,Weir mortalities,Adult,1,"1 RS mort, 141 tags yellow cum. 399 yellow"
Situk Lower,29,7/11/1988,Chinook,Counted live,Adult,13,"1 king tagged, 161 tagged yellow cum 560 cum Y"
Situk Lower,29,7/11/1988,Chinook,Counted live,L Jck,4,"1 king tagged, 161 tagged yellow cum 560 cum Y"
Situk Lower,29,7/11/1988,Pink,Counted live,Adult,2,"1 king tagged, 161 tagged yellow cum 560 cum Y"
Situk Lower,29,7/11/1988,Sockeye,Counted live,Adult,1683,"1 king tagged, 161 tagged yellow cum 560 cum Y"
Situk Lower,29,7/12/1988,Chinook,Counted live,Adult,57,
Situk Lower,29,7/12/1988,Chinook,Counted live,L Jck,13,
Situk Lower,29,7/12/1988,Pink,Counted live,Adult,2,
Situk Lower,29,7/12/1988,Sockeye,Counted live,Adult,1021,
Situk Lower,29,7/12/1988,Steelhead trout,Downstream migration,Adult,1,
Situk Lower,29,7/13/1988,Chinook,Counted live,Adult,23,"266/992 up, 45k tagged cum"
Situk Lower,29,7/13/1988,Chinook,Counted live,L Jck,15,"266/992 up, 45k tagged cum"
Situk Lower,29,7/13/1988,Pink,Counted live,Adult,8,"266/992 up, 45k tagged cum"
Situk Lower,29,7/13/1988,Sockeye,Counted live,Adult,4210,"266/992 up, 45k tagged cum"
Situk Lower,29,7/13/1988,Steelhead trout,Downstream migration,Adult,30,"266/992 up, 45k tagged cum"
Situk Lower,29,7/14/1988,Chinook,Counted live,Adult,16,
Situk Lower,29,7/14/1988,Chinook,Counted live,L Jck,4,
Situk Lower,29,7/14/1988,Chum,Counted live,Adult,1,
Situk Lower,29,7/14/1988,Pink,Counted live,Adult,7,
Situk Lower,29,7/14/1988,Sockeye,Counted live,Adult,255,
Situk Lower,29,7/15/1988,Chinook,Counted live,Adult,1,1 RS mort
Situk Lower,29,7/15/1988,Chinook,Counted live,L Jck,6,1 RS mort
Situk Lower,29,7/15/1988,Pink,Counted live,Adult,3,1 RS mort
Situk Lower,29,7/15/1988,Sockeye,Counted live,Adult,72,1 RS mort
Situk Lower,29,7/15/1988,Sockeye,Weir mortalities,Adult,1,1 RS mort
Situk Lower,29,7/16/1988,Chinook,Counted live,Adult,6,1 moriband sockeye down
Situk Lower,29,7/16/1988,Chinook,Counted live,L Jck,5,1 moriband sockeye down
Situk Lower,29,7/16/1988,Pink,Counted live,Adult,4,1 moriband sockeye down
Situk Lower,29,7/16/1988,Sockeye,Counted live,Adult,175,1 moriband sockeye down
Situk Lower,29,7/16/1988,Steelhead trout,Downstream migration,Adult,28,1 moriband sockeye down
Situk Lower,30,7/17/1988,Chinook,Counted live,Adult,9,
Situk Lower,30,7/17/1988,Chinook,Counted live,L Jck,7,
Situk Lower,30,7/17/1988,General dolly varden,Weir mortalities,Adult,2,
Situk Lower,30,7/17/1988,Pink,Counted live,Adult,6,
Situk Lower,30,7/17/1988,Sockeye,Counted live,Adult,190,
Situk Lower,30,7/18/1988,Chinook,Counted live,Adult,17,
Situk Lower,30,7/18/1988,Chinook,Counted live,L Jck,10,
Situk Lower,30,7/18/1988,Chinook,Weir mortalities,L Jck,1,
Situk Lower,30,7/18/1988,Chum,Counted live,Adult,1,
Situk Lower,30,7/18/1988,Pink,Counted live,Adult,7,
Situk Lower,30,7/18/1988,Sockeye,Counted live,Adult,519,
Situk Lower,30,7/18/1988,Sockeye,Weir mortalities,Adult,3,
Situk Lower,30,7/19/1988,Chinook,Counted live,Adult,27,
Situk Lower,30,7/19/1988,Chinook,Counted live,L Jck,12,
Situk Lower,30,7/19/1988,Pink,Counted live,Adult,177,
Situk Lower,30,7/19/1988,Sockeye,Counted live,Adult,1714,
Situk Lower,30,7/19/1988,Steelhead trout,Downstream migration,Adult,5,
Situk Lower,30,7/20/1988,Chinook,Counted live,Adult,19,
Situk Lower,30,7/20/1988,Chinook,Counted live,L Jck,1,
Situk Lower,30,7/20/1988,Pink,Counted live,Adult,80,
Situk Lower,30,7/20/1988,Sockeye,Counted live,Adult,717,
Situk Lower,30,7/20/1988,Steelhead trout,Downstream migration,Adult,8,
Situk Lower,30,7/21/1988,Chinook,Counted live,Adult,13,
Situk Lower,30,7/21/1988,Chinook,Counted live,L Jck,1,
Situk Lower,30,7/21/1988,Pink,Counted live,Adult,31,
Situk Lower,30,7/21/1988,Sockeye,Counted live,Adult,64,
Situk Lower,30,7/21/1988,Steelhead trout,Downstream migration,Adult,8,
Situk Lower,30,7/22/1988,Chinook,Zero fish observed,Adult,0,
Situk Lower,30,7/23/1988,Chinook,Counted live,Adult,212,
Situk Lower,30,7/23/1988,Chinook,Counted live,L Jck,16,
Situk Lower,30,7/23/1988,Pink,Counted live,Adult,147,
Situk Lower,30,7/23/1988,Sockeye,Counted live,Adult,2275,
Situk Lower,30,7/23/1988,Steelhead trout,Downstream migration,Adult,3,
Situk Lower,31,7/24/1988,Chinook,Counted live,Adult,4,
Situk Lower,31,7/24/1988,Sockeye,Counted live,Adult,4,
Situk Lower,31,7/24/1988,Steelhead trout,Downstream migration,Adult,2,
Situk Lower,31,7/25/1988,Chinook,Counted live,Adult,46,
Situk Lower,31,7/25/1988,Chinook,Counted live,L Jck,7,
Situk Lower,31,7/25/1988,Pink,Counted live,Adult,403,
Situk Lower,31,7/25/1988,Sockeye,Counted live,Adult,3378,
Situk Lower,31,7/25/1988,Steelhead trout,Downstream migration,Adult,27,
Situk Lower,31,7/26/1988,Chinook,Counted live,Adult,2,
Situk Lower,31,7/26/1988,Chinook,Counted live,L Jck,2,
Situk Lower,31,7/26/1988,Pink,Counted live,Adult,29,
Situk Lower,31,7/26/1988,Sockeye,Counted live,Adult,484,
Situk Lower,31,7/27/1988,Chinook,Counted live,Adult,72,
Situk Lower,31,7/27/1988,Chinook,Counted live,L Jck,9,
Situk Lower,31,7/27/1988,Pink,Counted live,Adult,53,
Situk Lower,31,7/27/1988,Sockeye,Counted live,Adult,219,
Situk Lower,31,7/28/1988,Chinook,Counted live,L Jck,2,
Situk Lower,31,7/28/1988,Pink,Counted live,Adult,124,
Situk Lower,31,7/28/1988,Pink,Weir mortalities,Adult,2,
Situk Lower,31,7/28/1988,Sockeye,Counted live,Adult,1113,
Situk Lower,31,7/28/1988,Sockeye,Weir mortalities,Adult,1,
Situk Lower,31,7/29/1988,Chinook,Counted live,Adult,1,
Situk Lower,31,7/29/1988,General dolly varden,Weir mortalities,Adult,2,
Situk Lower,31,7/29/1988,Pink,Counted live,Adult,949,
Situk Lower,31,7/29/1988,Pink,Weir mortalities,Adult,3,
Situk Lower,31,7/29/1988,Sockeye,Counted live,Adult,948,
Situk Lower,31,7/29/1988,Sockeye,Weir mortalities,Adult,4,
Situk Lower,31,7/30/1988,Chinook,Counted live,Adult,21,
Situk Lower,31,7/30/1988,Chinook,Counted live,L Jck,22,
Situk Lower,31,7/30/1988,Pink,Counted live,Adult,150,
Situk Lower,31,7/30/1988,Sockeye,Counted live,Adult,1074,
Situk Lower,32,7/31/1988,Pink,Counted live,Adult,148,
Situk Lower,32,7/31/1988,Sockeye,Counted live,Adult,377,
Situk Lower,32,8/1/1988,Chinook,Counted live,Adult,9,
Situk Lower,32,8/1/1988,Pink,Counted live,Adult,43,
Situk Lower,32,8/1/1988,Sockeye,Counted live,Adult,101,
Situk Lower,32,8/2/1988,Chinook,Counted live,Adult,6,
Situk Lower,32,8/2/1988,Chinook,Counted live,L Jck,6,
Situk Lower,32,8/2/1988,Coho,Counted live,Adult,160,
Situk Lower,32,8/2/1988,Pink,Counted live,Adult,113,
Situk Lower,32,8/2/1988,Sockeye,Counted live,Adult,1319,
Situk Lower,32,8/3/1988,Chinook,Counted live,Adult,3,
Situk Lower,32,8/3/1988,Pink,Counted live,Adult,18,
Situk Lower,32,8/3/1988,Sockeye,Counted live,Adult,57,
Situk Lower,32,8/4/1988,Chinook,Counted live,Adult,4,
Situk Lower,32,8/4/1988,Pink,Counted live,Adult,279,
Situk Lower,32,8/4/1988,Sockeye,Counted live,Adult,445,
Situk Lower,32,8/5/1988,Pink,Counted live,Adult,2243,
Situk Lower,32,8/5/1988,Sockeye,Counted live,Adult,323,
Situk Lower,32,8/6/1988,Chinook,Counted live,Adult,2,1 AD clip
Situk Lower,32,8/6/1988,Chinook,Counted live,L Jck,2,1 AD clip
Situk Lower,32,8/6/1988,Chum,Counted live,Adult,3,1 AD clip
Situk Lower,32,8/6/1988,Coho,Counted live,Adult,15,1 AD clip
Situk Lower,32,8/6/1988,Pink,Counted live,Adult,1642,1 AD clip
Situk Lower,32,8/6/1988,Sockeye,Counted live,Adult,323,1 AD clip
Situk Lower,33,8/7/1988,Pink,Counted live,Adult,10,
Situk Lower,33,8/7/1988,Sockeye,Counted live,Adult,7,
Situk Lower,33,8/8/1988,Chum,Counted live,Adult,3,
Situk Lower,33,8/8/1988,Coho,Counted live,Adult,3,
Situk Lower,33,8/8/1988,Pink,Counted live,Adult,1169,
Situk Lower,33,8/8/1988,Sockeye,Counted live,Adult,76,
Situk Lower,33,8/8/1988,Steelhead trout,Downstream migration,Adult,1,
Situk Lower,33,8/9/1988,Chinook,Counted live,Adult,1,"Weir washed under pickets, Approx 300 reds and 3000 pinks thru it"
Situk Lower,33,8/9/1988,Pink,Counted live,Adult,505,"Weir washed under pickets, Approx 300 reds and 3000 pinks thru it"
Situk Lower,33,8/9/1988,Sockeye,Counted live,Adult,15,"Weir washed under pickets, Approx 300 reds and 3000 pinks thru it"
Situk Lower,33,8/10/1988,Pink,Counted live,Adult,941,1 female king mort
Situk Lower,33,8/10/1988,Sockeye,Counted live,Adult,44,1 female king mort
Situk Lower,33,8/11/1988,Pink,Counted live,Adult,1211,
Situk Lower,33,8/11/1988,Sockeye,Counted live,Adult,64,
Situk Lower,33,8/12/1988,Chum,Counted live,Adult,3,
Situk Lower,33,8/12/1988,Coho,Counted live,Adult,36,
Situk Lower,33,8/12/1988,Pink,Counted live,Adult,8116,
Situk Lower,33,8/12/1988,Sockeye,Counted live,Adult,81,
Situk Lower,33,8/13/1988,Chinook,Counted live,L Jck,2,
Situk Lower,33,8/13/1988,Chum,Counted live,Adult,7,
Situk Lower,33,8/13/1988,Pink,Counted live,Adult,4670,
Situk Lower,33,8/13/1988,Sockeye,Counted live,Adult,56,
Situk Lower,34,8/14/1988,Chinook,Counted live,Adult,1,
Situk Lower,34,8/14/1988,Chum,Counted live,Adult,13,
Situk Lower,34,8/14/1988,Pink,Counted live,Adult,11322,
Situk Lower,34,8/14/1988,Sockeye,Counted live,Adult,123,
Situk Lower,34,8/15/1988,Chum,Counted live,Adult,19,
Situk Lower,34,8/15/1988,Coho,Counted live,Adult,23,
Situk Lower,34,8/15/1988,Pink,Counted live,Adult,14312,
Situk Lower,34,8/15/1988,Sockeye,Counted live,Adult,98,
Situk Lower,34,8/16/1988,Chum,Counted live,Adult,12,
Situk Lower,34,8/16/1988,Coho,Counted live,Adult,17,
Situk Lower,34,8/16/1988,Pink,Counted live,Adult,4011,
Situk Lower,34,8/16/1988,Sockeye,Counted live,Adult,50,
Situk Lower,34,8/17/1988,Chinook,Counted live,Adult,2,
Situk Lower,34,8/17/1988,Chum,Counted live,Adult,24,
Situk Lower,34,8/17/1988,Coho,Counted live,Adult,19,
Situk Lower,34,8/17/1988,Pink,Counted live,Adult,2935,
Situk Lower,34,8/17/1988,Sockeye,Counted live,Adult,38,
Situk Lower,34,8/18/1988,Chinook,Counted live,Adult,1,
Situk Lower,34,8/18/1988,Chum,Counted live,Adult,12,
Situk Lower,34,8/18/1988,Coho,Counted live,Adult,15,
Situk Lower,34,8/18/1988,Pink,Counted live,Adult,9536,
Situk Lower,34,8/18/1988,Sockeye,Counted live,Adult,30,
Situk Lower,34,8/19/1988,Chinook,Counted live,Adult,4,
Situk Lower,34,8/19/1988,Chum,Counted live,Adult,39,
Situk Lower,34,8/19/1988,Coho,Counted live,Adult,43,
Situk Lower,34,8/19/1988,Pink,Counted live,Adult,1799,
Situk Lower,34,8/19/1988,Sockeye,Counted live,Adult,19,
Situk Lower,34,8/20/1988,Chinook,Counted live,Adult,4,
Situk Lower,34,8/20/1988,Chum,Counted live,Adult,59,
Situk Lower,34,8/20/1988,Coho,Counted live,Adult,668,
Situk Lower,34,8/20/1988,Pink,Counted live,Adult,8503,
Situk Lower,34,8/20/1988,Sockeye,Counted live,Adult,28,
Situk Lower,35,8/21/1988,Chinook,Counted live,Adult,1,
Situk Lower,35,8/21/1988,Chinook,Counted live,L Jck,1,
Situk Lower,35,8/21/1988,Chum,Counted live,Adult,34,
Situk Lower,35,8/21/1988,Coho,Counted live,Adult,855,
Situk Lower,35,8/21/1988,Pink,Counted live,Adult,3041,
Situk Lower,35,8/21/1988,Sockeye,Counted live,Adult,9,
Situk Lower,21,5/26/1989,Steelhead trout,Counted live,Adult,13,
Situk Lower,21,5/26/1989,Steelhead trout,Downstream migration,Adult,17,
Situk Lower,21,5/27/1989,Steelhead trout,Carcass count,Adult,1,
Situk Lower,21,5/27/1989,Steelhead trout,Counted live,Adult,14,
Situk Lower,21,5/27/1989,Steelhead trout,Downstream migration,Adult,49,
Situk Lower,22,5/28/1989,Steelhead trout,Counted live,Adult,7,
Situk Lower,22,5/28/1989,Steelhead trout,Downstream migration,Adult,35,
Situk Lower,22,5/29/1989,Steelhead trout,Counted live,Adult,20,
Situk Lower,22,5/29/1989,Steelhead trout,Downstream migration,Adult,275,
Situk Lower,22,5/30/1989,Steelhead trout,Counted live,Adult,22,
Situk Lower,22,5/30/1989,Steelhead trout,Downstream migration,Adult,577,
Situk Lower,22,5/31/1989,Sockeye,Counted live,Adult,11,
Situk Lower,22,5/31/1989,Steelhead trout,Counted live,Adult,8,
Situk Lower,22,5/31/1989,Steelhead trout,Downstream migration,Adult,422,
Situk Lower,22,6/1/1989,Sockeye,Counted live,Adult,5,
Situk Lower,22,6/1/1989,Steelhead trout,Counted live,Adult,4,
Situk Lower,22,6/1/1989,Steelhead trout,Downstream migration,Adult,185,
Situk Lower,22,6/2/1989,Sockeye,Counted live,Adult,6,
Situk Lower,22,6/2/1989,Steelhead trout,Carcass count,Adult,2,
Situk Lower,22,6/2/1989,Steelhead trout,Counted live,Adult,4,
Situk Lower,22,6/2/1989,Steelhead trout,Downstream migration,Adult,40,
Situk Lower,22,6/3/1989,Chinook,Counted live,Adult,1,
Situk Lower,22,6/3/1989,Sockeye,Counted live,Adult,7,
Situk Lower,22,6/3/1989,Steelhead trout,Carcass count,Adult,8,
Situk Lower,22,6/3/1989,Steelhead trout,Counted live,Adult,13,
Situk Lower,22,6/3/1989,Steelhead trout,Downstream migration,Adult,1013,
Situk Lower,23,6/4/1989,Sockeye,Counted live,Adult,33,
Situk Lower,23,6/4/1989,Steelhead trout,Carcass count,Adult,9,
Situk Lower,23,6/4/1989,Steelhead trout,Counted live,Adult,6,
Situk Lower,23,6/4/1989,Steelhead trout,Downstream migration,Adult,47,
Situk Lower,23,6/5/1989,Chinook,Counted live,Adult,2,
Situk Lower,23,6/5/1989,Sockeye,Counted live,Adult,77,
Situk Lower,23,6/5/1989,Steelhead trout,Carcass count,Adult,3,
Situk Lower,23,6/5/1989,Steelhead trout,Downstream migration,Adult,113,
Situk Lower,23,6/6/1989,Steelhead trout,Carcass count,Adult,3,
Situk Lower,23,6/6/1989,Steelhead trout,Counted live,Adult,1,
Situk Lower,23,6/6/1989,Steelhead trout,Downstream migration,Adult,83,
Situk Lower,23,6/7/1989,Sockeye,Counted live,Adult,5,
Situk Lower,23,6/7/1989,Steelhead trout,Carcass count,Adult,4,
Situk Lower,23,6/7/1989,Steelhead trout,Downstream migration,Adult,4,
Situk Lower,23,6/8/1989,Sockeye,Counted live,Adult,2,
Situk Lower,23,6/8/1989,Steelhead trout,Carcass count,Adult,5,
Situk Lower,23,6/8/1989,Steelhead trout,Counted live,Adult,2,
Situk Lower,23,6/8/1989,Steelhead trout,Downstream migration,Adult,80,
Situk Lower,23,6/9/1989,Steelhead trout,Carcass count,Adult,7,
Situk Lower,23,6/9/1989,Steelhead trout,Downstream migration,Adult,52,
Situk Lower,23,6/10/1989,Sockeye,Counted live,Adult,5,
Situk Lower,23,6/10/1989,Steelhead trout,Carcass count,Adult,9,
Situk Lower,23,6/10/1989,Steelhead trout,Counted live,Adult,5,
Situk Lower,23,6/10/1989,Steelhead trout,Downstream migration,Adult,107,
Situk Lower,24,6/11/1989,Sockeye,Counted live,Adult,947,
Situk Lower,24,6/11/1989,Steelhead trout,Carcass count,Adult,13,
Situk Lower,24,6/11/1989,Steelhead trout,Downstream migration,Adult,113,
Situk Lower,24,6/12/1989,Sockeye,Counted live,Adult,675,
Situk Lower,24,6/12/1989,Steelhead trout,Carcass count,Adult,8,
Situk Lower,24,6/12/1989,Steelhead trout,Counted live,Adult,1,
Situk Lower,24,6/12/1989,Steelhead trout,Downstream migration,Adult,317,
Situk Lower,24,6/13/1989,Sockeye,Counted live,Adult,252,
Situk Lower,24,6/13/1989,Steelhead trout,Carcass count,Adult,6,
Situk Lower,24,6/13/1989,Steelhead trout,Counted live,Adult,3,
Situk Lower,24,6/13/1989,Steelhead trout,Downstream migration,Adult,39,
Situk Lower,24,6/14/1989,Sockeye,Counted live,Adult,226,
Situk Lower,24,6/14/1989,Steelhead trout,Carcass count,Adult,4,
Situk Lower,24,6/14/1989,Steelhead trout,Downstream migration,Adult,6,
Situk Lower,24,6/15/1989,Chinook,Counted live,Jack,1,
Situk Lower,24,6/15/1989,Sockeye,Counted live,Adult,23,
Situk Lower,24,6/15/1989,Steelhead trout,Carcass count,Adult,6,
Situk Lower,24,6/15/1989,Steelhead trout,Downstream migration,Adult,52,
Situk Lower,24,6/16/1989,Sockeye,Counted live,Adult,2,
Situk Lower,24,6/16/1989,Steelhead trout,Carcass count,Adult,3,
Situk Lower,24,6/16/1989,Steelhead trout,Downstream migration,Adult,3,
Situk Lower,24,6/17/1989,Chinook,Counted live,Adult,6,
Situk Lower,24,6/17/1989,Chinook,Counted live,Jack,5,
Situk Lower,24,6/17/1989,Sockeye,Counted live,Adult,4592,
Situk Lower,24,6/17/1989,Steelhead trout,Carcass count,Adult,2,
