year,term,estimate,std.error,statistic,p.value,conf.low,conf.high
1965,pop,1489149.0881995677,18873.535395194787,78.90143828477976,1.8428609822485183e-27,1449899.4226927627,1528398.7537063728
1965,t,189.1865224038833,0.1141020662044881,1658.0464201658938,3.2166297552861006e-55,188.9492341672924,189.4238106404742
1966,k,0.44899302258807555,0.052337610763055875,8.578783326980053,3.4147472549831734e-9,0.3416051156647705,0.5563809295113806
1966,pop,810902.6622554621,16348.72767269542,49.60035291368752,4.632034679814754e-28,777357.843911,844447.4805999243
1966,t,188.44598012685785,0.1934733389821444,974.0152370257563,6.519470022014176e-63,188.04900562580895,188.84295462790675
1967,k,0.27503873562317244,0.009188265465861713,29.93369495527284,6.666984164588018e-24,0.2562737941410592,0.29380367710528565
1967,pop,644069.588235499,4345.2666085511755,148.22326136859263,1.5152257215823898e-44,635195.3699255694,652943.8065454286
1967,t,184.9224085994031,0.08655271627235557,2136.5292340162664,2.6623989883969878e-79,184.74564437094202,185.09917282786418
1968,k,0.32704758521263216,0.007678918679846063,42.59031757570174,4.462842910152888e-29,0.31138632731130156,0.34270884311396277
1968,pop,338698.88327844936,1382.949237554299,244.91056799555952,1.6078948344714248e-52,335878.3397127737,341519.42684412503
1968,t,185.26604229880297,0.05342498396335719,3467.779090507021,3.367074619997701e-88,185.1570813256362,185.37500327196975
1969,k,0.31527075872531163,0.016671228810831645,18.91106902212713,2.5262525305285575e-13,0.28024580667873406,0.3502957107718892
1969,pop,1046483.7077503325,15585.235587109537,67.14583824551703,4.619431174427098e-23,1013740.3428030252,1079227.07269764
1969,t,188.22043911548872,0.10875268167306129,1730.7199806008284,1.8950589754923256e-48,187.99195820962646,188.44892002135097
1970,k,0.4791470351019246,0.0501704430981545,9.550384758701679,8.046961869765203e-10,0.3758190733325598,0.5824749968712893
1970,pop,925648.592021483,14046.316311457009,65.89973993868193,1.4817610100781992e-29,896719.6620538698,954577.5219890962
1970,t,188.7404603942186,0.16950730906718448,1113.4650265695093,3.2052244778418975e-60,188.39135355622125,189.08956723221593
1971,k,0.1911673001137527,0.018510196562831323,10.327675314783999,3.622174145794697e-12,0.15358960331807658,0.2287449969094288
1971,pop,793896.095954793,44907.79228534298,17.678359490718165,5.040781244859627e-19,702728.4307960987,885063.7611134874
1971,t,198.5985871056812,0.3926691126002238,505.76574712122647,3.2266654259744e-69,197.80142642701244,199.39574778434994
1972,k,0.5383768425694687,0.01923769491945726,27.98551722664794,6.121521474027792e-21,0.4988331943308939,0.5779204908080435
1972,pop,554700.1499168011,4089.463438591388,135.641303130923,1.3647502355328345e-38,546294.1374305228,563106.1624030794
1972,t,189.27842200848352,0.04697648604029283,4029.216273140034,7.066237813710103e-77,189.1818604585037,189.37498355846333
1973,k,0.2003427487383168,0.019880925335040475,10.077134004683838,6.931267372360117e-12,0.15998232459469805,0.24070317288193557
1973,pop,351911.4411658699,10666.483130869477,32.99226529008572,5.882102464340234e-28,330257.3291953432,373565.5531363966
1973,t,189.36777901895385,0.31705829288104725,597.2648666534017,9.581328542993208e-72,188.72411646485853,190.01144157304918
1974,k,0.2761318611151075,0.006904659423807959,39.992104485700935,4.7265678486641767e-32,0.2621416922308049,0.2901220299994101
1974,pop,1291273.163528792,6148.833537663628,210.00294700113758,1.5766397953354916e-58,1278814.4433583575,1303731.8836992267
