Date,Day,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
17-Jul,22,287,82,652,670,NA,379,334,NA,225,175,194,NA,150,NA,218,515,326,334,NA,689,237,377,NA,331,150,230,330,459,671,1136,611,NA,420,334,216,288,NA,61,243,NA,116,50,400,699,NA,NA,310
18-Jul,23,424,64,488,464,NA,322,231,NA,105,299,NA,NA,103,NA,408,378,280,411,598,373,227,477,229,126,102,111,NA,400,516,868,512,725,379,331,133,411,NA,123,76,NA,1444,21,383,227,427,291,NA
19-Jul,24,283,223,561,355,NA,298,165,NA,99,259,NA,NA,124,NA,60,328,195,162,NA,475,260,357,329,395,103,316,289,441,485,517,562,754,427,573,139,391,NA,131,68,NA,130,675,335,308,383,444,231
20-Jul,25,94,193,475,334,NA,243,192,NA,137,177,NA,NA,47,NA,97,291,144,272,NA,274,88,392,264,221,51,NA,NA,376,619,551,1082,NA,492,382,289,342,NA,82,123,215,194,769,484,332,372,189,124
21-Jul,26,392,135,271,345,NA,187,102,NA,124,151,NA,NA,107,NA,197,158,167,200,NA,266,180,346,225,788,77,NA,NA,542,657,893,647,NA,746,435,296,267,NA,38,223,171,538,474,293,682,103,389,57
22-Jul,27,190,148,302,178,NA,183,47,NA,111,72,NA,NA,108,NA,101,169,165,59,NA,362,98,208,215,265,113,NA,249,466,474,536,585,NA,488,292,344,563,NA,95,60,122,148,589,441,553,266,294,114
23-Jul,28,171,117,203,131,NA,118,81,NA,89,104,NA,NA,84,NA,128,46,159,101,NA,151,56,110,98,230,78,NA,114,223,286,636,883,379,831,283,101,319,NA,113,95,217,135,456,217,234,52,405,NA
24-Jul,29,82,151,299,308,NA,78,54,NA,69,170,NA,NA,56,NA,57,NA,103,88,NA,134,77,53,112,235,93,NA,176,257,185,456,547,300,534,227,198,285,NA,40,65,419,178,221,260,556,206,63,NA
25-Jul,30,87,125,180,NA,NA,42,61,NA,36,116,NA,NA,46,NA,37,45,84,52,NA,220,99,34,205,429,57,NA,131,248,221,385,823,341,740,203,73,452,NA,198,57,195,233,171,288,207,445,158,485
26-Jul,31,56,75,114,NA,NA,41,39,NA,44,130,NA,NA,38,NA,55,39,33,76,NA,159,31,100,127,81,30,NA,82,116,197,NA,370,483,604,461,238,413,NA,70,85,256,206,NA,185,120,245,381,412
27-Jul,32,50,12,92,NA,NA,31,52,NA,30,66,NA,NA,27,NA,35,30,26,77,NA,135,25,13,184,113,53,NA,50,153,485,273,350,350,361,416,124,303,NA,19,74,260,199,NA,134,204,NA,142,132
28-Jul,33,20,NA,72,NA,NA,36,34,NA,37,78,NA,NA,16,NA,44,38,27,121,47,67,27,81,194,68,25,NA,37,106,295,320,445,250,411,237,120,230,NA,6,58,238,89,NA,95,178,146,426,235
29-Jul,34,28,NA,64,NA,NA,31,20,NA,32,55,NA,NA,27,NA,70,34,30,NA,141,67,52,37,114,93,19,72,32,NA,150,235,418,357,286,203,263,285,249,1,8,105,139,NA,154,97,NA,157,38
30-Jul,35,24,NA,59,NA,NA,24,32,NA,26,28,NA,NA,31,NA,47,12,20,NA,108,76,99,47,110,88,14,77,31,NA,121,167,274,139,180,NA,NA,95,179,11,39,195,81,NA,NA,359,130,410,216
31-Jul,36,NA,NA,NA,NA,NA,10,24,NA,22,33,NA,NA,23,NA,56,18,21,19,86,27,19,36,101,52,41,46,8,43,106,132,249,53,193,NA,NA,72,NA,12,10,213,58,NA,138,117,115,362,103
1-Aug,37,NA,NA,NA,NA,NA,8,16,NA,16,35,NA,NA,NA,NA,45,11,17,14,58,24,NA,20,64,54,24,29,23,39,77,81,186,54,122,NA,NA,116,NA,10,26,98,98,NA,94,67,156,278,135
2-Aug,38,NA,NA,NA,NA,NA,13,18,NA,22,35,NA,NA,NA,NA,42,25,25,7,27,25,NA,30,58,41,37,53,12,40,68,131,169,96,120,NA,NA,110,90,4,12,110,56,NA,NA,66,82,94,128
3-Aug,39,NA,NA,NA,NA,NA,11,27,NA,18,24,NA,NA,4,NA,29,16,10,16,25,47,9,25,31,24,NA,24,NA,NA,44,104,162,142,105,NA,NA,187,87,10,20,65,30,NA,NA,154,94,145,40
4-Aug,40,NA,NA,NA,NA,NA,11,20,NA,12,7,NA,NA,12,NA,11,8,NA,25,NA,21,7,13,25,18,NA,17,NA,NA,60,98,127,NA,82,53,NA,NA,22,NA,10,103,8,NA,NA,79,38,95,NA
5-Aug,41,NA,NA,NA,NA,NA,1,11,NA,4,14,NA,NA,6,NA,14,3,NA,23,NA,11,2,18,30,NA,NA,9,NA,23,70,64,161,NA,88,67,NA,NA,37,2,9,60,36,NA,NA,180,67,26,113
6-Aug,42,NA,NA,NA,NA,NA,3,8,NA,3,14,NA,NA,7,NA,11,5,NA,20,NA,10,6,19,17,NA,NA,14,9,20,48,57,63,NA,NA,NA,NA,NA,55,NA,9,49,20,NA,33,71,NA,70,60
7-Aug,43,NA,NA,NA,NA,NA,4,10,NA,4,2,NA,NA,6,NA,6,5,NA,29,16,4,8,13,14,7,NA,4,6,27,77,45,62,NA,58,22,NA,26,NA,NA,3,39,17,NA,28,100,47,12,99
8-Aug,44,NA,NA,NA,NA,NA,2,5,NA,8,18,NA,NA,10,NA,9,0,NA,21,19,15,10,10,20,10,4,12,11,24,48,51,38,54,29,21,NA,28,19,NA,3,51,11,NA,24,81,51,37,79
9-Aug,45,NA,NA,NA,NA,NA,10,4,NA,3,8,NA,1,3,NA,7,0,NA,11,2,10,2,23,15,4,7,1,7,15,23,30,17,34,36,23,NA,45,NA,NA,6,40,8,NA,31,60,42,49,52
10-Aug,46,NA,NA,NA,NA,NA,4,3,NA,1,19,NA,15,1,NA,2,1,7,15,6,NA,14,28,5,2,10,6,1,7,37,32,22,29,25,22,NA,44,12,NA,5,39,12,NA,NA,31,32,24,13
11-Aug,47,NA,NA,NA,NA,NA,3,5,NA,3,13,NA,11,5,NA,10,3,7,5,NA,NA,NA,33,10,2,3,3,5,3,10,14,39,17,28,11,NA,48,7,NA,4,21,2,NA,NA,34,33,30,84
12-Aug,48,NA,NA,NA,NA,NA,6,6,NA,1,12,NA,18,10,NA,4,1,7,11,6,NA,NA,NA,3,8,3,1,5,14,25,26,NA,28,24,17,NA,24,NA,NA,0,25,11,NA,NA,24,35,8,32
13-Aug,49,NA,NA,NA,NA,NA,1,5,0,5,5,NA,11,2,NA,2,2,8,6,5,NA,NA,NA,7,5,9,7,3,5,13,33,NA,23,15,5,NA,NA,10,NA,0,15,6,NA,NA,32,20,23,38
14-Aug,50,NA,NA,NA,NA,NA,7,1,0,1,6,NA,15,3,NA,1,2,1,NA,9,NA,NA,4,5,4,6,4,4,6,5,16,NA,18,14,8,NA,NA,5,NA,0,20,NA,NA,NA,20,25,8,24
15-Aug,51,NA,NA,NA,NA,NA,3,0,0,1,1,NA,9,2,NA,3,0,5,NA,7,NA,5,13,5,1,5,11,2,5,8,13,NA,5,8,6,NA,NA,5,NA,3,24,NA,NA,NA,13,14,1,NA
16-Aug,52,NA,NA,NA,NA,NA,6,1,0,1,NA,NA,14,3,NA,2,1,9,NA,4,NA,1,6,5,2,1,2,1,8,11,7,NA,7,7,NA,NA,13,5,NA,4,12,NA,NA,NA,6,16,8,NA
17-Aug,53,NA,NA,NA,NA,NA,2,0,0,1,NA,NA,17,5,NA,0,2,2,NA,3,3,0,5,3,3,0,1,0,7,7,9,NA,10,3,NA,NA,20,4,NA,NA,9,NA,NA,NA,12,4,2,NA
18-Aug,54,NA,NA,NA,NA,NA,3,0,0,0,NA,NA,11,4,NA,1,0,4,NA,0,2,1,1,2,3,0,0,0,3,6,23,NA,6,4,5,NA,8,2,NA,NA,9,1,NA,5,8,11,0,NA
19-Aug,55,NA,NA,NA,NA,NA,6,0,0,2,NA,NA,6,3,NA,1,1,2,NA,5,0,0,5,7,0,1,NA,0,2,4,16,NA,4,4,4,NA,2,4,NA,NA,15,3,NA,8,6,4,2,NA
20-Aug,56,NA,NA,NA,NA,NA,5,0,0,0,NA,NA,12,3,NA,0,1,1,NA,1,2,3,4,4,1,3,NA,0,7,3,9,NA,4,1,7,NA,NA,2,NA,NA,5,5,NA,6,5,7,0,NA
21-Aug,57,NA,NA,NA,NA,NA,0,0,0,1,NA,2,11,3,NA,1,0,0,NA,3,3,2,1,4,0,0,NA,1,7,4,8,NA,7,4,2,NA,NA,1,NA,NA,6,NA,2,1,2,5,0,NA
22-Aug,58,NA,NA,NA,NA,NA,2,0,0,0,NA,7,5,3,NA,0,1,NA,NA,1,1,3,2,1,2,1,1,2,2,7,3,NA,5,0,1,NA,NA,1,2,NA,4,NA,2,2,3,8,0,NA
23-Aug,59,NA,NA,NA,NA,NA,4,0,0,0,0,4,5,2,1,1,0,NA,NA,0,1,4,1,0,0,2,1,3,0,3,4,NA,5,1,7,NA,0,2,0,NA,1,NA,4,3,0,2,NA,NA
24-Aug,60,NA,NA,NA,NA,NA,1,0,0,0,0,1,6,0,2,0,0,NA,NA,0,0,1,0,1,1,0,1,1,7,4,12,NA,5,3,0,NA,0,3,1,NA,1,NA,0,3,NA,2,2,NA
25-Aug,61,NA,NA,NA,NA,NA,2,0,0,0,0,0,5,1,NA,0,1,NA,NA,0,0,0,2,1,2,1,2,2,2,1,8,NA,3,2,3,NA,2,1,1,NA,4,NA,NA,1,NA,7,2,NA
26-Aug,62,NA,NA,NA,NA,NA,2,0,0,0,0,0,2,1,NA,0,1,NA,NA,0,0,2,4,3,1,0,2,0,3,2,5,1,4,0,0,NA,1,1,0,NA,2,NA,NA,1,5,0,0,NA
27-Aug,63,NA,NA,NA,NA,NA,1,0,0,0,0,1,2,1,NA,0,0,NA,NA,0,3,1,4,1,2,2,3,1,NA,2,4,4,1,2,1,2,0,2,1,1,0,NA,NA,NA,0,5,0,NA
28-Aug,64,NA,NA,NA,NA,NA,2,0,0,0,0,1,2,4,NA,0,0,NA,NA,0,2,1,0,0,0,3,0,3,NA,0,4,5,1,0,0,1,0,0,0,0,0,NA,NA,2,0,4,1,NA
29-Aug,65,NA,NA,NA,NA,NA,2,0,0,0,0,0,0,1,NA,0,0,NA,NA,0,1,2,2,0,0,0,0,1,2,0,3,3,0,0,0,3,0,0,0,0,1,NA,NA,0,0,1,0,NA
30-Aug,66,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,1,NA,0,0,NA,NA,2,0,0,1,3,13,4,0,2,2,0,2,1,1,1,1,0,0,1,0,0,0,NA,NA,2,0,6,1,NA
31-Aug,67,NA,NA,NA,NA,NA,2,0,0,0,0,0,2,1,NA,0,0,NA,0,0,1,0,1,4,0,0,0,1,1,0,2,0,1,0,2,0,0,0,0,0,2,NA,NA,0,1,NA,0,NA
1-Sep,68,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,4,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0
2-Sep,69,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,1,0,0,0,1,0,0,2,2,1,2,0,1,0,0,3,2,0,1,0,1,1,0,0,0,0,0,0,0
3-Sep,70,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,2,2,0,1,1,0,2,0,0,0,0,0,1,0,0,2,1,1,0,0
4-Sep,71,0,0,0,0,0,1,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,2
5-Sep,72,0,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,2,0,3
6-Sep,73,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,3,1,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1
7-Sep,74,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2
8-Sep,75,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
9-Sep,76,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-Sep,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
11-Sep,78,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12-Sep,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-Sep,80,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14-Sep,81,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-Sep,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-Sep,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17-Sep,84,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
18-Sep,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19-Sep,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Sep,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21-Sep,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Sep,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Sep,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-Sep,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-Sep,92,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
