Date,Day,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
25-Jun,23,472,172,933,164,206,228,514,481,36,80,78,359,828,151,240,216,191,46,54,245,175,51,64
26-Jun,24,399,1116,109,192,185,301,1524,632,124,110,231,97,614,29,733,79,450,462,58,617,185,53,107
27-Jun,25,362,631,351,268,163,1052,705,476,20,254,83,362,399,83,146,230,1022,117,435,506,50,54,135
28-Jun,26,432,245,275,319,114,313,440,521,22,219,116,176,200,64,286,168,212,48,319,544,64,56,164
29-Jun,27,37,570,295,469,167,58,189,115,71,71,107,18,170,76,488,99,321,84,179,513,117,58,192
30-Jun,28,204,207,674,562,282,54,170,243,52,383,41,66,123,46,689,156,724,212,221,195,106,59,220
1-Jul,29,302,877,129,136,254,61,259,167,143,414,366,266,76,62,1124,163,1455,122,209,564,66,61,248
2-Jul,30,142,89,217,243,210,47,219,534,211,191,136,202,224,2,2047,300,1226,300,245,656,115,62,276
3-Jul,31,101,616,229,194,102,291,1247,392,529,2398,49,222,301,284,1455,358,849,271,593,797,351,64,304
4-Jul,32,565,331,71,561,128,212,1001,454,295,491,75,530,259,108,283,334,841,213,330,467,339,37,333
5-Jul,33,316,209,352,640,400,396,1100,157,74,361,270,389,1456,220,655,274,1150,318,339,727,515,94,361
6-Jul,34,1042,880,197,277,453,597,833,145,75,139,123,80,1920,202,241,295,601,343,270,1103,570,324,324
7-Jul,35,330,123,124,231,628,359,986,197,29,75,100,165,2468,172,651,211,342,352,373,764,273,1143,454
8-Jul,36,62,294,369,726,753,400,1014,303,125,70,892,127,455,133,947,706,1178,606,178,928,222,338,1333
9-Jul,37,284,575,100,451,450,708,469,376,85,303,760,172,923,92,1344,1067,902,285,541,860,256,237,1745
10-Jul,38,100,462,850,834,476,1133,707,660,125,259,742,434,626,704,1758,1059,544,404,1532,817,377,171,1574
11-Jul,39,321,190,960,972,420,490,586,879,324,554,175,426,801,102,1774,1145,671,555,991,1417,455,94,1229
12-Jul,40,158,349,1104,583,757,400,974,393,125,450,643,844,667,92,951,497,1518,572,579,2571,398,162,869
13-Jul,41,793,731,631,761,813,286,672,158,152,210,538,1266,2512,107,855,257,910,533,518,2361,563,587,964
14-Jul,42,800,482,686,689,968,1255,1802,87,122,211,443,1376,1629,186,1613,1029,1215,297,1082,1905,566,813,1057
15-Jul,43,929,515,269,914,560,449,1440,210,174,478,553,1020,1901,302,2829,1509,1218,71,540,1457,501,373,1236
16-Jul,44,364,1414,1022,688,602,439,1716,184,1309,1088,466,1073,4412,2160,6099,1648,1091,386,229,2144,472,1667,369
17-Jul,45,721,818,944,1002,1223,403,1502,117,678,557,513,1048,2000,3062,3963,2193,524,576,257,1041,1298,4180,377
18-Jul,46,602,1455,909,1114,1834,799,1023,23,184,813,732,1412,3275,9967,3072,2408,769,700,696,2859,851,2518,2028
19-Jul,47,1174,1307,1449,2039,1316,916,1128,51,129,554,1064,882,4016,4969,2326,1002,959,920,282,1128,812,811,4378
20-Jul,48,513,885,914,2808,2007,1485,1158,208,85,966,490,1217,12250,1128,3339,2159,1813,1107,389,1538,1750,725,2931
21-Jul,49,877,1559,2480,743,1774,618,1058,280,61,736,1287,1020,7500,2832,1884,1853,1420,1348,8715,1323,1187,1821,2777
22-Jul,50,903,1032,2867,503,1307,845,1220,476,58,145,1866,1446,3447,1968,3848,1833,2003,1256,13041,1408,1146,3899,1162
23-Jul,51,286,863,2141,801,1372,1273,1108,1242,25,516,5676,1430,7069,3263,10017,1162,941,1016,1583,5568,1021,2673,2491
24-Jul,52,326,1434,1037,1725,1114,679,975,2375,22,684,1840,1582,5640,915,2402,2178,448,1139,2424,8762,3658,3838,1157
25-Jul,53,546,2164,728,1663,1052,1081,759,1951,75,943,3398,1731,3188,818,1299,1347,124,371,4740,13069,2491,2914,909
26-Jul,54,244,1736,378,3194,1327,909,740,1194,2159,1005,2652,1528,1733,1002,2813,1091,287,1077,4938,11225,830,3415,1327
27-Jul,55,1300,1673,802,1237,1650,433,1120,1189,2067,3274,5346,1090,2244,1086,8376,1446,802,1270,4770,14723,602,2407,1262
28-Jul,56,520,2266,875,3601,2691,110,1145,1082,2348,1745,7262,1030,988,1446,4269,622,765,1176,6472,12047,882,1351,1192
29-Jul,57,1534,1592,759,4234,2092,164,963,1755,7004,871,2483,529,1667,970,1099,669,984,490,5002,2582,2374,1251,1441
30-Jul,58,803,1914,1057,3700,2065,212,1301,1758,3782,505,2108,1298,1895,662,705,2119,1142,2217,3244,1401,1227,6417,1148
31-Jul,59,1009,2413,1414,3896,1778,503,2404,1298,1083,491,3441,1932,3001,324,688,2237,1265,1370,1533,4267,3000,4218,443
1-Aug,60,764,4841,2018,3062,1550,724,1813,1457,800,186,1913,915,2538,111,749,1311,3057,1049,679,3518,4966,3090,618
2-Aug,61,479,4186,792,1311,1416,935,1517,1315,1053,900,2034,2841,602,204,2668,843,5058,2385,425,1508,2007,2622,1751
3-Aug,62,907,2830,684,1484,860,777,2450,575,291,1387,1716,1738,454,328,4448,507,4442,1245,739,2123,2153,1129,852
4-Aug,63,1414,3704,715,2001,769,138,1300,638,168,660,1252,2206,1411,206,1881,1489,13701,859,1640,1854,1753,1905,1244
5-Aug,64,983,2585,683,2137,845,180,718,1614,159,314,722,1212,1237,275,1223,1791,8488,1044,944,1194,1462,1683,1163
6-Aug,65,613,2918,590,1968,2240,125,1686,1678,352,551,347,4733,675,290,1540,664,4043,947,1073,1452,537,713,2727
7-Aug,66,448,1919,667,1079,1070,226,3040,1561,104,373,664,2541,461,367,1721,1017,4354,1144,642,907,911,300,563
8-Aug,67,2207,1253,792,3876,1552,664,3212,1338,505,654,864,1914,155,73,579,1998,1607,395,665,529,673,271,1066
9-Aug,68,1193,806,616,1558,1844,552,2242,1140,449,421,898,2410,178,158,491,2499,343,217,517,806,857,748,434
10-Aug,69,1082,982,712,1084,1795,430,616,622,194,332,1087,1585,357,148,1595,1287,468,380,380,408,813,817,885
11-Aug,70,274,768,505,1004,1144,230,1360,825,603,600,894,793,806,117,389,665,282,243,83,1696,415,948,1295
12-Aug,71,527,523,550,1431,896,250,816,1206,194,207,980,2871,792,180,18,586,338,713,402,2135,912,1526,798
13-Aug,72,810,909,683,1060,787,358,1209,1812,133,204,496,1052,537,106,93,1266,331,305,402,1454,216,987,980
14-Aug,73,231,689,367,794,1439,1072,691,2688,160,184,699,555,560,62,195,884,392,634,584,1041,370,738,538
15-Aug,74,935,1212,187,304,696,1074,546,2317,100,204,891,1562,610,212,103,942,175,48,500,1110,751,488,201
16-Aug,75,111,539,252,385,511,824,1293,1908,212,659,400,649,849,121,69,1761,402,541,266,1088,676,277,372
17-Aug,76,239,619,450,221,411,472,1009,536,210,235,240,551,460,161,165,918,198,628,922,658,742,200,209
18-Aug,77,85,603,678,41,591,605,933,918,273,106,391,440,511,83,212,858,112,928,616,491,1020,1074,132
19-Aug,78,288,192,840,73,201,208,1151,598,401,129,488,197,752,70,565,512,209,769,1193,1328,680,1435,25
20-Aug,79,700,709,670,213,317,500,1041,861,288,170,289,560,701,105,559,772,328,502,562,561,1267,756,85
21-Aug,80,312,581,728,216,856,588,2601,854,119,115,451,79,339,216,600,1156,319,607,343,692,835,811,58
22-Aug,81,704,305,948,269,837,1604,2176,850,117,182,379,33,208,226,557,733,447,233,176,376,575,1723,50
23-Aug,82,276,141,574,439,554,901,1432,1097,215,197,123,22,200,155,379,275,447,63,258,424,304,3524,25
24-Aug,83,508,158,326,550,1922,1554,1835,903,46,168,490,53,239,172,551,78,124,139,1002,728,433,1405,55
25-Aug,84,237,234,423,684,1502,1188,943,507,50,211,400,347,265,51,477,308,102,405,198,530,423,1109,132
26-Aug,85,330,176,707,435,976,521,1858,547,106,176,236,390,203,109,273,1324,112,46,174,506,608,4125,34
27-Aug,86,146,528,619,640,760,916,2210,504,190,160,157,436,188,84,197,857,82,167,802,716,184,1370,227
28-Aug,87,1025,223,437,410,756,1019,1556,749,148,16,186,475,190,112,346,82,304,677,120,325,545,1285,284
29-Aug,88,501,418,240,542,1134,1115,1426,1888,128,71,209,333,272,101,133,554,272,706,89,257,516,2719,81
30-Aug,89,288,279,457,303,943,1214,1233,1706,114,53,301,226,181,55,83,1219,360,176,18,417,369,1059,27
31-Aug,90,832,245,439,234,1236,1050,2014,1550,80,36,359,133,212,94,397,764,59,235,34,707,226,605,17
1-Sep,91,278,195,480,109,983,844,426,1065,81,9,87,152,222,64,523,825,103,223,38,375,580,995,55
2-Sep,92,176,204,623,45,794,686,918,730,78,28,330,175,214,67,200,353,147,245,106,339,421,537,236
3-Sep,93,134,248,901,79,1274,408,804,809,44,55,324,164,265,117,239,684,210,448,46,246,345,901,111
4-Sep,94,114,158,493,107,969,602,313,639,66,89,112,106,149,68,104,599,143,276,33,311,241,735,76
5-Sep,95,147,65,471,112,641,446,840,444,54,63,75,65,90,54,6,336,206,101,5,173,134,1547,32
6-Sep,96,20,285,326,216,791,358,1296,634,52,66,215,NA,78,48,31,358,23,135,76,112,90,1230,49
7-Sep,97,40,70,422,185,853,251,877,430,46,87,102,NA,61,43,46,380,94,NA,46,138,83,552,NA
8-Sep,98,54,152,542,142,422,183,590,500,42,49,47,NA,74,NA,103,462,55,NA,152,205,139,364,NA
9-Sep,99,50,79,157,101,365,193,781,437,54,46,49,NA,92,NA,223,NA,3,NA,NA,NA,NA,415,NA
10-Sep,100,58,90,71,NA,486,226,1060,225,18,8,71,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,178,NA
11-Sep,101,37,50,35,NA,350,337,747,385,65,NA,41,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,160,NA
12-Sep,102,44,28,NA,NA,156,114,661,281,21,NA,38,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
